ic,family,run,init,amp_K,lead_hr,stat,pole,value,p_hPa,r_km
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025091700,2025091700,0.5,24,max,lowlevel,9.5e-05,850.0,38.72
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025091700,2025091700,0.5,24,p95,lowlevel,5.7e-05,805.24,47.34
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025091700,2025091700,0.5,24,p90,lowlevel,4.4e-05,820.26,61.31
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025091700,2025091700,0.5,24,max,upperlevel,-0.000192,250.0,256.19
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025091700,2025091700,0.5,24,p95,upperlevel,-0.000107,340.86,216.08
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025091700,2025091700,0.5,24,p90,upperlevel,-8.2e-05,337.3,202.47
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092000,2025092000,0.5,24,max,lowlevel,0.018203,850.0,0.0
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092000,2025092000,0.5,24,p95,lowlevel,0.011534,823.71,44.93
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092000,2025092000,0.5,24,p90,lowlevel,0.007853,829.4,53.88
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092000,2025092000,0.5,24,max,upperlevel,-0.019,400.0,156.77
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092000,2025092000,0.5,24,p95,upperlevel,-0.012231,357.99,141.63
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092000,2025092000,0.5,24,p90,upperlevel,-0.009836,356.04,149.54
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092100,2025092100,0.5,24,max,lowlevel,0.03032,850.0,55.66
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092100,2025092100,0.5,24,p95,lowlevel,0.020642,794.1,56.83
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092100,2025092100,0.5,24,p90,lowlevel,0.015788,798.25,65.39
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092100,2025092100,0.5,24,max,upperlevel,-0.031014,300.0,168.69
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092100,2025092100,0.5,24,p95,upperlevel,-0.017893,362.32,159.36
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092100,2025092100,0.5,24,p90,upperlevel,-0.014,363.98,158.64
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092200,2025092200,0.5,24,max,lowlevel,0.005155,925.0,38.43
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092200,2025092200,0.5,24,p95,lowlevel,0.003149,892.33,51.96
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092200,2025092200,0.5,24,p90,lowlevel,0.002323,875.83,60.3
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092200,2025092200,0.5,24,max,upperlevel,-0.006776,300.0,168.47
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092200,2025092200,0.5,24,p95,upperlevel,-0.002586,331.45,183.92
axisym,dq_bl,sweepdqbl_0p5K_24h_init2025092200,2025092200,0.5,24,p90,upperlevel,-0.002101,337.58,188.61
axisym,dq_bl,sweepdqbl_10K_24h_init2025091700,2025091700,10.0,24,max,lowlevel,0.001341,850.0,38.72
axisym,dq_bl,sweepdqbl_10K_24h_init2025091700,2025091700,10.0,24,p95,lowlevel,0.000797,836.98,45.75
axisym,dq_bl,sweepdqbl_10K_24h_init2025091700,2025091700,10.0,24,p90,lowlevel,0.000638,840.24,61.74
axisym,dq_bl,sweepdqbl_10K_24h_init2025091700,2025091700,10.0,24,max,upperlevel,-0.001595,500.0,272.64
axisym,dq_bl,sweepdqbl_10K_24h_init2025091700,2025091700,10.0,24,p95,upperlevel,-0.000964,303.37,201.06
axisym,dq_bl,sweepdqbl_10K_24h_init2025091700,2025091700,10.0,24,p90,upperlevel,-0.000758,305.34,189.43
axisym,dq_bl,sweepdqbl_10K_24h_init2025092000,2025092000,10.0,24,max,lowlevel,0.352575,850.0,0.0
axisym,dq_bl,sweepdqbl_10K_24h_init2025092000,2025092000,10.0,24,p95,lowlevel,0.219218,833.95,44.74
axisym,dq_bl,sweepdqbl_10K_24h_init2025092000,2025092000,10.0,24,p90,lowlevel,0.147524,836.68,52.95
axisym,dq_bl,sweepdqbl_10K_24h_init2025092000,2025092000,10.0,24,max,upperlevel,-0.392451,200.0,26.54
axisym,dq_bl,sweepdqbl_10K_24h_init2025092000,2025092000,10.0,24,p95,upperlevel,-0.231608,319.5,128.56
axisym,dq_bl,sweepdqbl_10K_24h_init2025092000,2025092000,10.0,24,p90,upperlevel,-0.188961,331.47,148.82
axisym,dq_bl,sweepdqbl_10K_24h_init2025092100,2025092100,10.0,24,max,lowlevel,0.826827,700.0,84.35
axisym,dq_bl,sweepdqbl_10K_24h_init2025092100,2025092100,10.0,24,p95,lowlevel,0.505776,771.5,61.53
axisym,dq_bl,sweepdqbl_10K_24h_init2025092100,2025092100,10.0,24,p90,lowlevel,0.377992,780.36,68.11
axisym,dq_bl,sweepdqbl_10K_24h_init2025092100,2025092100,10.0,24,max,upperlevel,-0.743167,300.0,159.25
axisym,dq_bl,sweepdqbl_10K_24h_init2025092100,2025092100,10.0,24,p95,upperlevel,-0.395332,366.07,148.86
axisym,dq_bl,sweepdqbl_10K_24h_init2025092100,2025092100,10.0,24,p90,upperlevel,-0.313624,368.22,150.91
axisym,dq_bl,sweepdqbl_10K_24h_init2025092200,2025092200,10.0,24,max,lowlevel,0.10121,925.0,38.43
axisym,dq_bl,sweepdqbl_10K_24h_init2025092200,2025092200,10.0,24,p95,lowlevel,0.062153,891.3,51.69
axisym,dq_bl,sweepdqbl_10K_24h_init2025092200,2025092200,10.0,24,p90,lowlevel,0.04599,874.93,59.8
axisym,dq_bl,sweepdqbl_10K_24h_init2025092200,2025092200,10.0,24,max,upperlevel,-0.126937,300.0,168.47
axisym,dq_bl,sweepdqbl_10K_24h_init2025092200,2025092200,10.0,24,p95,upperlevel,-0.050596,339.32,183.3
axisym,dq_bl,sweepdqbl_10K_24h_init2025092200,2025092200,10.0,24,p90,upperlevel,-0.041193,340.56,186.64
axisym,dq_bl,sweepdqbl_1K_24h_init2025091700,2025091700,1.0,24,max,lowlevel,0.000143,850.0,38.72
axisym,dq_bl,sweepdqbl_1K_24h_init2025091700,2025091700,1.0,24,p95,lowlevel,9.1e-05,822.69,48.16
axisym,dq_bl,sweepdqbl_1K_24h_init2025091700,2025091700,1.0,24,p90,lowlevel,7.2e-05,833.17,61.91
axisym,dq_bl,sweepdqbl_1K_24h_init2025091700,2025091700,1.0,24,max,upperlevel,-0.000255,200.0,272.64
axisym,dq_bl,sweepdqbl_1K_24h_init2025091700,2025091700,1.0,24,p95,upperlevel,-0.000146,344.35,180.21
axisym,dq_bl,sweepdqbl_1K_24h_init2025091700,2025091700,1.0,24,p90,upperlevel,-0.000116,336.51,177.12
axisym,dq_bl,sweepdqbl_1K_24h_init2025092000,2025092000,1.0,24,max,lowlevel,0.036395,850.0,0.0
axisym,dq_bl,sweepdqbl_1K_24h_init2025092000,2025092000,1.0,24,p95,lowlevel,0.023017,823.98,44.91
axisym,dq_bl,sweepdqbl_1K_24h_init2025092000,2025092000,1.0,24,p90,lowlevel,0.015666,829.86,53.81
axisym,dq_bl,sweepdqbl_1K_24h_init2025092000,2025092000,1.0,24,max,upperlevel,-0.037817,400.0,156.77
axisym,dq_bl,sweepdqbl_1K_24h_init2025092000,2025092000,1.0,24,p95,upperlevel,-0.024434,357.89,141.36
axisym,dq_bl,sweepdqbl_1K_24h_init2025092000,2025092000,1.0,24,p90,upperlevel,-0.019653,353.13,149.62
